Date,Time,Objects,Vehicles,Density
29-05-2026,20:55:01,1,0,LOW
29-05-2026,20:55:01,1,0,LOW
29-05-2026,20:55:01,1,0,LOW
29-05-2026,20:55:01,1,0,LOW
29-05-2026,20:55:02,1,0,LOW
29-05-2026,20:55:02,1,0,LOW
29-05-2026,20:55:02,1,0,LOW
29-05-2026,20:55:03,1,0,LOW
29-05-2026,20:55:03,1,0,LOW
29-05-2026,20:55:03,1,0,LOW
29-05-2026,20:55:03,1,0,LOW
29-05-2026,20:55:04,1,0,LOW
29-05-2026,20:55:04,1,0,LOW
29-05-2026,20:55:04,1,0,LOW
29-05-2026,20:55:04,1,0,LOW
29-05-2026,20:55:05,1,0,LOW
29-05-2026,20:55:05,1,0,LOW
29-05-2026,20:55:05,1,0,LOW
29-05-2026,20:55:05,1,0,LOW
29-05-2026,20:55:06,1,0,LOW
29-05-2026,20:55:06,1,0,LOW
29-05-2026,20:55:06,1,0,LOW
29-05-2026,20:55:06,1,0,LOW
29-05-2026,20:55:07,1,0,LOW
29-05-2026,20:55:07,1,0,LOW
29-05-2026,20:55:07,1,0,LOW
29-05-2026,20:55:07,1,0,LOW
29-05-2026,20:55:08,1,0,LOW
29-05-2026,20:55:08,1,0,LOW
29-05-2026,20:55:08,1,0,LOW
29-05-2026,20:55:09,1,0,LOW
29-05-2026,20:55:09,1,0,LOW
29-05-2026,20:55:09,1,0,LOW
29-05-2026,20:55:09,1,0,LOW
29-05-2026,20:55:10,1,0,LOW
29-05-2026,20:55:10,1,0,LOW
29-05-2026,20:55:10,1,0,LOW
29-05-2026,20:55:10,1,0,LOW
29-05-2026,20:55:10,1,0,LOW
29-05-2026,20:55:11,1,0,LOW
29-05-2026,20:55:11,1,0,LOW
29-05-2026,20:55:11,1,0,LOW
29-05-2026,20:55:12,1,0,LOW
29-05-2026,20:55:12,1,0,LOW
29-05-2026,20:55:12,1,0,LOW
29-05-2026,20:55:12,1,0,LOW
29-05-2026,20:55:13,1,0,LOW
29-05-2026,20:55:13,1,0,LOW
29-05-2026,20:55:13,1,0,LOW
29-05-2026,20:55:13,1,0,LOW
29-05-2026,20:55:14,1,0,LOW
29-05-2026,20:55:14,1,0,LOW
29-05-2026,20:55:14,1,0,LOW
29-05-2026,20:55:14,1,0,LOW
29-05-2026,20:55:15,1,0,LOW
29-05-2026,20:55:15,1,0,LOW
29-05-2026,20:55:15,1,0,LOW
29-05-2026,20:55:15,1,0,LOW
29-05-2026,20:55:16,1,0,LOW
29-05-2026,20:55:16,1,0,LOW
29-05-2026,20:55:16,1,0,LOW
29-05-2026,20:55:17,1,0,LOW
Date,Time,Objects,Vehicles,Density
29-05-2026,21:39:55,1,0,LOW
29-05-2026,21:39:55,1,0,LOW
29-05-2026,21:39:56,1,0,LOW
29-05-2026,21:39:56,1,0,LOW
29-05-2026,21:39:57,1,0,LOW
29-05-2026,21:39:57,1,0,LOW
29-05-2026,21:39:57,1,0,LOW
29-05-2026,21:39:58,1,0,LOW
29-05-2026,21:39:58,1,0,LOW
29-05-2026,21:39:59,1,0,LOW
29-05-2026,21:39:59,1,0,LOW
29-05-2026,21:39:59,1,0,LOW
29-05-2026,21:40:00,1,0,LOW
29-05-2026,21:40:00,1,0,LOW
29-05-2026,21:40:00,1,0,LOW
29-05-2026,21:40:01,1,0,LOW
29-05-2026,21:40:01,1,0,LOW
29-05-2026,21:40:02,1,0,LOW
29-05-2026,21:40:02,1,0,LOW
29-05-2026,21:40:02,1,0,LOW
29-05-2026,21:40:03,1,0,LOW
29-05-2026,21:40:03,1,0,LOW
29-05-2026,21:40:04,1,0,LOW
29-05-2026,21:40:04,1,0,LOW
29-05-2026,21:40:04,1,0,LOW
29-05-2026,21:40:05,1,0,LOW
29-05-2026,21:40:05,1,0,LOW
29-05-2026,21:40:06,1,0,LOW
29-05-2026,21:40:06,1,0,LOW
29-05-2026,21:40:06,1,0,LOW
29-05-2026,21:40:07,1,0,LOW
29-05-2026,21:40:07,1,0,LOW
29-05-2026,21:40:08,1,0,LOW
29-05-2026,21:40:08,1,0,LOW
29-05-2026,21:40:08,1,0,LOW
29-05-2026,21:40:09,1,0,LOW
29-05-2026,21:40:09,1,0,LOW
29-05-2026,21:40:10,1,0,LOW
29-05-2026,21:40:10,1,0,LOW
29-05-2026,21:40:11,1,0,LOW
29-05-2026,21:40:11,1,0,LOW
Date,Time,Objects,Vehicles,Density
29-05-2026,21:47:50,3,0,LOW
29-05-2026,21:47:50,2,0,LOW
29-05-2026,21:47:51,2,0,LOW
29-05-2026,21:47:51,2,0,LOW
29-05-2026,21:47:51,2,0,LOW
29-05-2026,21:47:52,2,0,LOW
29-05-2026,21:47:52,2,0,LOW
29-05-2026,21:47:53,2,0,LOW
29-05-2026,21:47:53,2,0,LOW
29-05-2026,21:47:54,2,0,LOW
29-05-2026,21:47:54,2,0,LOW
29-05-2026,21:47:54,2,0,LOW
29-05-2026,21:47:55,2,0,LOW
29-05-2026,21:47:55,2,0,LOW
29-05-2026,21:47:56,2,0,LOW
29-05-2026,21:47:56,2,0,LOW
29-05-2026,21:47:56,2,0,LOW
29-05-2026,21:47:57,2,0,LOW
29-05-2026,21:47:57,2,0,LOW
29-05-2026,21:47:58,1,0,LOW
29-05-2026,21:47:58,1,0,LOW
29-05-2026,21:47:58,2,0,LOW
29-05-2026,21:47:59,1,0,LOW
29-05-2026,21:47:59,1,0,LOW
29-05-2026,21:48:00,1,0,LOW
29-05-2026,21:48:00,1,0,LOW
29-05-2026,21:48:00,1,0,LOW
29-05-2026,21:48:01,1,0,LOW
29-05-2026,21:48:01,1,0,LOW
29-05-2026,21:48:02,1,0,LOW
29-05-2026,21:48:02,1,0,LOW
29-05-2026,21:48:03,1,0,LOW
29-05-2026,21:48:03,1,0,LOW
29-05-2026,21:48:03,1,0,LOW
29-05-2026,21:48:04,2,0,LOW
29-05-2026,21:48:04,1,0,LOW
29-05-2026,21:48:05,1,0,LOW
29-05-2026,21:48:05,1,0,LOW
29-05-2026,21:48:05,1,0,LOW
29-05-2026,21:48:06,1,0,LOW
29-05-2026,21:48:06,1,0,LOW
29-05-2026,21:48:07,2,0,LOW
29-05-2026,21:48:07,1,0,LOW
29-05-2026,21:48:07,2,0,LOW
29-05-2026,21:48:08,1,0,LOW
29-05-2026,21:48:08,1,0,LOW
29-05-2026,21:48:08,1,0,LOW
29-05-2026,21:48:09,1,0,LOW
29-05-2026,21:48:09,1,0,LOW
29-05-2026,21:48:10,1,0,LOW
29-05-2026,21:48:10,1,0,LOW
29-05-2026,21:48:10,1,0,LOW
29-05-2026,21:48:11,1,0,LOW
29-05-2026,21:48:11,1,0,LOW
29-05-2026,21:48:12,1,0,LOW
29-05-2026,21:48:12,1,0,LOW
29-05-2026,21:48:12,1,0,LOW
29-05-2026,21:48:13,1,0,LOW
29-05-2026,21:48:13,1,0,LOW
29-05-2026,21:48:14,2,0,LOW
29-05-2026,21:48:14,2,0,LOW
29-05-2026,21:48:14,1,0,LOW
29-05-2026,21:48:15,1,0,LOW
29-05-2026,21:48:15,1,0,LOW
29-05-2026,21:48:16,1,0,LOW
29-05-2026,21:48:16,1,0,LOW
29-05-2026,21:48:16,1,0,LOW
29-05-2026,21:48:17,2,0,LOW
29-05-2026,21:48:17,2,0,LOW
29-05-2026,21:48:18,2,0,LOW
29-05-2026,21:48:18,2,0,LOW
29-05-2026,21:48:18,2,0,LOW
29-05-2026,21:48:19,2,0,LOW
29-05-2026,21:48:19,2,0,LOW
29-05-2026,21:48:19,2,0,LOW
29-05-2026,21:48:20,2,0,LOW
29-05-2026,21:48:20,2,0,LOW
29-05-2026,21:48:21,2,0,LOW
29-05-2026,21:48:21,2,0,LOW
29-05-2026,21:48:21,2,0,LOW
29-05-2026,21:48:22,2,0,LOW
29-05-2026,21:48:22,2,0,LOW
29-05-2026,21:48:23,2,0,LOW
29-05-2026,21:48:23,2,0,LOW
29-05-2026,21:48:23,2,0,LOW
29-05-2026,21:48:24,2,0,LOW
29-05-2026,21:48:24,2,0,LOW
29-05-2026,21:48:25,2,0,LOW
29-05-2026,21:48:25,2,0,LOW
29-05-2026,21:48:25,2,0,LOW
29-05-2026,21:48:26,2,0,LOW
29-05-2026,21:48:26,2,0,LOW
29-05-2026,21:48:27,2,0,LOW
29-05-2026,21:48:27,2,0,LOW
29-05-2026,21:48:27,2,0,LOW
29-05-2026,21:48:28,3,0,LOW
29-05-2026,21:48:28,3,0,LOW
29-05-2026,21:48:28,3,0,LOW
29-05-2026,21:48:29,3,0,LOW
29-05-2026,21:48:29,2,0,LOW
29-05-2026,21:48:30,2,0,LOW
29-05-2026,21:48:30,3,0,LOW
29-05-2026,21:48:30,2,0,LOW
29-05-2026,21:48:31,3,0,LOW
29-05-2026,21:48:31,3,0,LOW
29-05-2026,21:48:32,3,0,LOW
29-05-2026,21:48:32,2,0,LOW
29-05-2026,21:48:32,2,0,LOW
29-05-2026,21:48:33,1,0,LOW
29-05-2026,21:48:33,1,0,LOW
29-05-2026,21:48:34,1,0,LOW
29-05-2026,21:48:34,1,0,LOW
29-05-2026,21:48:34,1,0,LOW
29-05-2026,21:48:35,2,0,LOW
29-05-2026,21:48:35,3,0,LOW
29-05-2026,21:48:36,2,0,LOW
29-05-2026,21:48:36,2,0,LOW
29-05-2026,21:48:36,2,0,LOW
29-05-2026,21:48:37,2,0,LOW
29-05-2026,21:48:37,2,0,LOW
29-05-2026,21:48:38,1,0,LOW
29-05-2026,21:48:38,1,0,LOW
29-05-2026,21:48:38,1,0,LOW
29-05-2026,21:48:39,1,0,LOW
29-05-2026,21:48:39,1,0,LOW
29-05-2026,21:48:40,1,0,LOW
29-05-2026,21:48:40,1,0,LOW
29-05-2026,21:48:40,2,0,LOW
29-05-2026,21:48:41,2,0,LOW
29-05-2026,21:48:41,2,0,LOW
29-05-2026,21:48:42,2,0,LOW
29-05-2026,21:48:42,2,0,LOW
29-05-2026,21:48:42,2,0,LOW
29-05-2026,21:48:43,2,0,LOW
29-05-2026,21:48:43,2,0,LOW
29-05-2026,21:48:44,2,0,LOW
Date,Time,Objects,Vehicles,Density
29-05-2026,21:56:43,1,0,LOW
29-05-2026,21:56:44,2,0,LOW
29-05-2026,21:56:44,1,0,LOW
29-05-2026,21:56:45,1,0,LOW
29-05-2026,21:56:45,1,0,LOW
29-05-2026,21:56:46,2,0,LOW
29-05-2026,21:56:46,2,0,LOW
29-05-2026,21:56:46,2,0,LOW
29-05-2026,21:56:47,1,0,LOW
29-05-2026,21:56:47,1,0,LOW
29-05-2026,21:56:48,2,0,LOW
29-05-2026,21:56:48,1,0,LOW
29-05-2026,21:56:49,2,0,LOW
29-05-2026,21:56:49,1,0,LOW
29-05-2026,21:56:49,2,0,LOW
29-05-2026,21:56:50,1,0,LOW
29-05-2026,21:56:50,1,0,LOW
29-05-2026,21:56:51,1,0,LOW
29-05-2026,21:56:51,1,0,LOW
29-05-2026,21:56:51,1,0,LOW
29-05-2026,21:56:52,1,0,LOW
29-05-2026,21:56:52,1,0,LOW
29-05-2026,21:56:53,2,0,LOW
29-05-2026,21:56:53,2,0,LOW
29-05-2026,21:56:54,2,0,LOW
29-05-2026,21:56:54,1,0,LOW
29-05-2026,21:56:54,1,0,LOW
29-05-2026,21:56:55,1,0,LOW
29-05-2026,21:56:55,1,0,LOW
29-05-2026,21:56:56,1,0,LOW
29-05-2026,21:56:56,1,0,LOW
29-05-2026,21:56:56,1,0,LOW
29-05-2026,21:56:57,1,0,LOW
29-05-2026,21:56:57,1,0,LOW
29-05-2026,21:56:58,1,0,LOW
29-05-2026,21:56:58,1,0,LOW
29-05-2026,21:56:58,1,0,LOW
29-05-2026,21:56:59,1,0,LOW
29-05-2026,21:56:59,1,0,LOW
29-05-2026,21:57:00,1,0,LOW
29-05-2026,21:57:00,1,0,LOW
29-05-2026,21:57:01,1,0,LOW
29-05-2026,21:57:01,1,0,LOW
29-05-2026,21:57:01,1,0,LOW
29-05-2026,21:57:02,0,0,LOW
29-05-2026,21:57:02,0,0,LOW
29-05-2026,21:57:03,0,0,LOW
29-05-2026,21:57:03,0,0,LOW
